label,z_score
1,3.481553119113957
1,2.7774602993176543
1,4.330127018922194
1,3.544304092945183
1,9.035398058696476
1,6.9829724875517565
1,10.490935623216915
1,14.94717972790124
1,8.037035485422432
1,3.4101218185880198
1,5.515528318445926
1,6.154574548966636
1,5.359422007578723
1,6.402767666404454
1,15.309524686764883
1,6.059031639361167
1,12.129568697262455
1,23.90035977441763
1,8.475694565873862
1,5.570484990582331
1,6.697263122599658
1,21.25116326930146
1,6.976819652324345
1,19.177879047906195
1,14.04093883701412
1,7.465517058725969
1,4.437097101465178
1,11.86373765272435
1,13.218866706400927
1,11.575836902790227
1,8.16496580927726
1,4.798025909848648
1,4.798025909848648
1,4.660252001549779
1,13.879486037673853
1,7.444871848358975
1,8.120363200464785
1,4.901894677425396
1,5.719875971738852
1,10.29107003420828
1,12.842843926976222
1,4.287682814595206
1,19.11528223601717
1,7.236272269866327
1,6.715471761210061
1,5.715476066494083
1,6.174951306744203
1,6.3508529610858835
1,18.832331677673654
1,15.607222888836574
1,4.5850407708172565
1,3.533333333333333
1,7.223648826057695
1,21.88310590820065
1,4.947171899572681
1,16.00148060481075
1,9.639425217227348
1,15.42485067310586
1,19.230608222358146
1,5.171145012542265
1,7.972927164320992
1,7.6210235533030595
1,6.46175347003757
1,5.063033103498311
1,8.384348352573221
1,7.979583877950543
1,7.065767092077349
1,7.815038703165377
1,7.4853392060950075
1,5.973241301880029
1,19.52342641813874
1,9.511127086814604
1,7.156264473321344
1,12.972561671537319
1,7.759705701987263
1,9.631740207566262
1,6.083786736826829
1,8.235545657208966
1,5.917195393100688
1,4.3803769547120215
1,10.368333878586297
1,7.258661863112977
1,6.27162924074226
1,28.507658044184886
1,5.063033103498311
1,5.080682368868707
1,8.979981213666823
1,8.049526184495074
1,8.641844796192622
1,6.659058919504366
1,5.137126718505765
1,6.0883328268229135
1,14.65344342655743
1,5.388602512436507
1,3.1558437213360127
1,6.7461923416925424
1,3.2756920994133023
1,7.921553131555974
1,5.046949386828399
1,7.099785416844313
1,6.813299687492027
1,17.385392440902493
1,4.934841132684102
1,14.45539832139476
1,5.457607401403547
1,6.0891839288643785
1,4.729606286705072
1,14.685763234883124
1,8.355044182110838
1,5.8423739467217715
1,6.792534735908837
1,8.304961564496924
1,8.173093538837051
1,11.914034484047578
1,19.922564140404017
1,3.5395790044325226
1,21.19114999015478
1,6.50328247324605
1,5.4
1,11.036828992192394
1,5.926974966883571
1,7.029594915666377
1,8.063242090863513
1,11.734419110194553
1,4.866237983169703
1,10.696485233125747
1,9.156130945631862
1,27.471015933487255
1,22.921039785269457
1,8.619167203972973
1,17.84669638626641
1,9.125174913627742
1,4.078843426312125
1,4.4952920120081235
1,7.549532024566446
1,5.8918830363717944
1,2.370629249995805
1,6.516946235415336
1,3.2863353450309964
1,6.0740116085892195
1,5.720657822831735
1,2.792848008753788
1,6.372255001396044
1,6.746930620432885
1,4.87967672903848
1,6.01929265428846
1,6.245880184869588
1,7.28181815358572
1,16.0679527158133
1,6.392802556649305
1,5.778520948116921
1,6.567206798038654
1,6.265107527173338
1,7.236272269866327
1,19.922564140404017
1,3.366501646120693
1,4.100333411126101
1,9.663531361973137
1,20.037890126744998
1,7.770979851594088
1,6.834257143762642
1,2.8763532884018916
1,5.36050769377703
1,6.976819652324345
1,5.980594201482083
1,11.193257673306752
1,3.892252039008021
1,6.928203230275509
1,9.209401941068135
1,9.811557810392122
1,5.803392549135814
1,5.36050769377703
1,5.503479652755
1,8.332380897952962
1,3.610922276915204
1,4.87967672903848
1,3.162277660168379
1,3.609848715935058
1,17.385392440902493
1,22.6903878125875
1,8.057137228411857
1,14.732894755059991
1,18.48678430744111
1,5.062278801751901
1,4.437443981720681
1,5.630666258598823
1,7.0710678118654755
1,9.2721877679066
1,13.129685177966143
1,7.376503476038551
1,23.324447490696727
1,4.6475800154489
1,10.783524640381955
1,8.117599696745419
1,7.200077881198724
1,5.662208585049306
1,26.034841416475874
1,5.2278134055549765
1,6.012531715875485
1,6.200793351475459
1,4.783446031074605
1,9.848100051627506
1,13.810286864332163
1,4.660252001549779
1,9.099081363178746
1,6.207522318391883
1,7.880832879951232
1,11.171392035015153
1,24.18962563502022
1,6.092717958449424
1,7.048076422940983
1,6.695271963607354
1,21.537127949177716
1,8.198915917499228
1,19.293061504650378
1,5.3383252893559385
1,4.427188724235731
1,5.228129047119373
1,3.738331764050571
1,9.270955575556957
1,8.489087081848327
1,8.119622530770386
1,4.644832406568227
1,4.389381125701739
1,5.933333333333334
1,6.3088669190118285
1,3.6514837167011076
1,5.100030321316778
1,6.101422810155444
1,7.375832058196868
1,6.88189975353369
1,19.230608222358146
1,4.810702354423639
1,21.075824003813803
1,8.111071056538128
1,10.331352385107342
1,6.0740116085892195
1,10.210194024380922
1,6.6332495807108
1,3.053290134455173
1,16.248760636498474
1,18.141236937208564
1,5.86061441717516
1,13.649121124185491
1,11.345471989301863
1,9.059488977176247
1,7.976370726078331
1,3.694723317402382
1,19.691912167722062
1,15.886154618469774
1,8.271071757597298
1,7.112509139504988
1,5.543478937468666
1,8.165149702832746
1,16.413500086045843
1,9.831146333987238
1,7.121379656555416
1,4.297720905831796
1,6.567206798038654
1,17.154740468220538
1,22.518170293487454
1,9.054876691422653
1,6.484226842123354
1,2.970442628930023
1,5.662208585049306
1,4.158619680502032
1,1.5670935878004129
1,4.47213595499958
1,9.124171472002542
1,2.830110211550746
1,1.5650160901149996
1,16.18313517255748
1,6.795208855361117
1,2.5205041512504174
1,14.963546727741948
1,9.566807697649699
1,8.049708951735477
1,5.4272042023997455
1,3.2998316455372216
1,4.666666666666667
1,6.9829724875517565
1,4.8771699567255995
1,16.693436522856622
1,26.9574493072037
1,5.666666666666667
1,5.3707505285863055
1,17.334959739999295
1,-0.08247860988423225
1,5.040576098761669
1,15.25857930556585
1,8.961208520359484
1,7.013343843696721
1,5.924741690788224
1,11.323167756212044
1,5.720657822831735
1,31.2245108018199
1,10.013251560439898
1,7.581753965757455
1,4.807628288496167
1,6.167958807173937
1,29.03331706134131
1,6.746930620432885
1,8.46787565052693
1,8.720983634634086
1,11.734419110194553
1,24.88158155306609
1,11.336855300620304
1,8.635694600837738
1,7.0006306874506
1,6.492321213694224
1,8.327366284712477
1,4.257145483916761
1,8.304961564496924
1,6.138914766455381
1,8.679477710861025
1,6.807584731499359
1,8.016707904982121
1,6.7158789672707995
1,8.567194721542483
1,5.379312955574879
1,8.257228238447706
1,5.352643613280605
1,24.76625556672511
1,10.147701484110971
1,10.621327412623359
1,9.644985799520981
1,9.241848554584864
1,9.11111111111111
1,8.215135351586392
1,4.954336943068623
1,2.556038601690775
1,9.48958837788549
1,15.95277025906912
1,3.9055756460169304
1,6.314097752168568
1,21.42180196283674
1,6.582805886043833
1,7.7154990518977264
1,26.08882645255708
1,14.931824766683546
1,8.63586442839465
1,29.379295020364246
1,2.886751345948129
1,6.168493695012487
1,6.004442799572107
1,20.099338701859647
1,5.164303793352369
1,4.901894677425396
1,8.19882245540007
1,19.230608222358146
1,6.466323014923808
1,7.223151185146152
1,8.074061938731719
1,4.849742261192856
1,8.93188416732745
1,6.004149267724678
1,9.788404645143968
1,24.88158155306609
1,5.88348405414552
1,4.48358830654244
1,5.837652721806216
1,12.382114099999496
1,3.546580225021987
1,10.222044613404472
1,7.161084030926601
1,7.069156454130363
1,4.837531333408539
1,6.2724510848378765
1,33.87700848766241
1,6.622661785325219
1,4.291393525902813
1,7.421484445348452
1,5.1449575542752655
1,4.3142094409955565
1,3.940416439975616
1,11.937668805421621
1,8.844332774281066
1,18.832331677673654
1,7.774815830232241
1,7.246573018525412
1,18.60196676418529
1,17.962022372607386
1,6.630759154649411
1,22.74853520697582
1,11.388441151171618
1,7.756630173800768
1,22.6903878125875
1,7.9115480528524
1,9.354953314429288
1,3.6521858576011077
1,5.5377492419453835
1,3.7273424528752774
1,4.530051602506037
1,6.97427579579536
1,7.3638173830977705
1,4.242640687119286
1,19.52342641813874
1,7.702813338860895
1,8.546875438111943
1,2.182178902359924
1,6.225081042599213
1,15.031310605115667
1,8.560707580902077
1,13.188391297208765
1,4.947171899572681
1,6.885303726590964
1,5.114610021183414
1,5.024042353020645
1,8.135602877970026
1,5.863527298559492
1,4.222222222222222
1,8.165149702832746
1,9.759000729485333
1,7.392997379710767
1,5.33162540959103
1,3.028960741674143
1,7.268374528922056
1,5.628510875900897
1,11.822071913804063
1,7.815251814211762
1,7.32325314529251
1,8.888516325048746
1,6.166448702919271
1,6.138245895861674
1,3.9055756460169304
1,7.838427449551967
1,6.004149267724678
1,9.830325229495058
1,31.2245108018199
1,5.5425625842204065
1,4.418160988482258
1,2.7774602993176543
1,5.299233090271576
1,21.25116326930146
1,7.759812450409915
1,5.333333333333333
1,6.789028582272215
1,14.45539832139476
1,8.126643098003507
1,6.392802556649305
1,19.984156245115464
1,23.843647675997286
1,4.990361079491514
1,8.454027929649518
1,23.612995703315327
1,5.901700209217436
1,5.197661616006741
1,17.731370399925428
1,7.466196221738709
1,9.0
1,11.313708498984761
1,7.181251309512178
1,7.549443707650601
1,5.495843982071254
1,16.18313517255748
1,3.2166657854850578
1,16.19444851180879
1,8.93188416732745
1,6.182045541309925
1,8.309321147191921
1,3.0550504633038935
1,5.910624659963424
1,5.277790490704241
1,6.492321213694224
1,6.9829724875517565
1,9.996892172437624
1,23.843647675997286
1,5.852184379828089
1,20.383868085767933
1,3.4429142505420267
1,5.628510875900897
1,4.810702354423639
1,8.119622530770386
1,4.431293675255978
1,12.497296556743677
1,8.795200711499172
1,5.787674415621782
1,8.062690667686086
1,5.2278134055549765
1,6.704890420846231
1,16.23213257749271
1,19.461260195040104
1,4.618802153517006
1,7.1835225519713966
1,3.4743399734864924
1,8.561186063276269
1,5.48219132908616
1,7.075942729929445
1,9.408763079971536
1,7.851963660978909
1,10.34962579508847
1,6.316820578599824
1,5.666666666666667
1,3.452822876372728
1,11.403146321596774
1,7.12434364706207
1,7.525753364040681
1,5.105097012190461
1,22.287805379999092
1,6.556925040997952
1,11.082093005751569
1,8.642317696799498
1,7.884203920677707
1,3.8586123009300755
1,4.34086826048683
1,6.740396886799091
1,7.6382873959700115
1,19.52342641813874
1,6.93048186978138
1,10.482874923734741
1,3.7716825457067866
1,6.976819652324345
1,23.036365771610434
1,7.330486397812656
1,8.976251969235527
1,5.881176352917641
1,6.138314026063575
1,3.700850753042643
1,7.142054924590072
1,5.827942371086193
1,7.825315045131125
1,26.726797334521745
1,6.647097715994327
1,7.122019646266634
1,19.80723815406304
1,6.764754597315764
1,8.616505170822508
1,8.713298378194734
1,7.453559924999299
1,10.517526205715996
1,6.112798079954905
1,8.643325211229223
1,2.143580348123382
1,9.536816931921386
1,15.655502645787818
1,8.2746395199652
1,11.734419110194553
1,9.924890340747451
1,15.157969684090947
1,6.929436774882502
1,4.57466241725923
1,15.005382768443177
1,6.758453353343745
1,4.356370212976267
1,6.516946235415336
1,6.0740116085892195
1,7.921553131555974
1,6.48661625781813
1,10.136060675992288
1,22.6903878125875
1,6.957010852370434
1,10.470436315170282
1,4.482031636985253
1,9.04194430179465
1,7.383460076130335
1,5.508844563159559
1,6.192361855168458
1,4.849742261192856
1,5.9876415934699905
1,11.345471989301863
1,5.1449575542752655
1,8.482607801170657
1,5.515528318445926
1,8.074061938731719
1,6.774048824625568
1,5.550028549603007
1,5.379312955574879
1,8.119817860049464
1,4.657094007013809
1,8.704517646083579
1,7.021132123546479
1,18.192674345289344
1,15.251299962220743
1,11.074627890819185
1,6.377042156569663
1,9.710933128295252
1,9.111916759223991
1,5.019011475427825
1,5.603155257282213
1,4.700207870189201
1,20.268542099426952
1,1.1648208067068038
1,12.454739150498815
1,11.541371323743133
1,18.294931115052183
1,20.444886072092192
1,4.6995339433948695
1,18.077348358948363
1,6.392626349302065
1,5.943753454527293
1,4.345129435670943
1,4.290691028089191
1,6.753561423449966
1,7.928661560942265
1,12.612479013487858
1,5.630666258598823
1,8.843918250239566
1,8.619047619047619
1,5.167050676973538
1,28.738022957673248
1,13.710581312262427
1,2.7774602993176543
1,4.656821913941336
1,8.0
1,24.937001885115265
1,6.764754597315764
1,5.948118774794627
1,5.810848255358981
1,9.963282508371687
1,19.408243961394557
1,6.880975663883467
1,7.637626158259733
1,10.297534446957414
1,14.109850951162217
1,24.420277607702175
1,5.068030337996144
1,4.480896268889631
1,4.700207870189201
1,6.112798079954905
1,1.9603921176392136
1,7.8859162479719505
1,6.192361855168458
1,24.18962563502022
1,6.2459426358260375
1,16.528682542790026
1,10.248201843525576
1,10.710187955236092
1,13.060433512996443
1,7.1904495062940335
1,9.435641951204964
1,6.745611015605348
1,11.988298388245683
1,5.852184379828089
1,6.092717958449424
1,5.144434027684821
1,5.33162540959103
1,5.133333333333334
1,7.890453678924885
1,3.849001794597505
1,2.519763153394848
1,4.278406467922596
1,9.617735138139144
1,7.498701860656655
1,12.311049041899444
1,14.34021586465058
1,7.381013824629044
1,5.4977332806413255
1,4.900769721140662
1,5.962847939999439
1,6.834257143762642
1,7.7192102508321225
1,7.520441940462394
1,6.513721780101713
1,7.869852567821861
1,6.047078979069521
1,7.675761373407768
1,10.459155768700427
1,6.890727683873459
1,6.514421014903803
1,7.673442541005147
1,5.386525040752342
1,7.332193529013174
1,4.714045207910317
1,8.91511653497833
1,4.835481053902881
1,5.7318235466202765
1,20.960498017472823
1,4.016632088371218
1,10.88494608539938
1,2.5083402029162802
1,11.417452850740988
1,9.033990003951681
1,4.5850407708172565
