step,epoch,loss,val_loss,lr,gpu_util,gpu_mem_used_mb,gpu_mem_total_mb
1000,0.0,6.175079361438751,5.303699779510498,0.0002999968544102413,100.0,22301,32607
2000,0.0,5.020672600269318,4.7376392722129825,0.00029997319150857444,100.0,22301,32607
3000,0.0,4.660055803537369,4.495409142971039,0.0002999263564824168,0.0,22301,32607
4000,0.0,4.459522126674652,4.320910501480102,0.00029985635737238,100.0,22301,32607
5000,0.0,4.3293712079525,4.218338588476181,0.0002997632061958735,99.0,22301,32607
6000,0.0,4.239568742513657,4.137390455007553,0.00029964691894504103,100.0,22301,32607
7000,0.0,4.16751553940773,4.069077516794205,0.0002995075155840147,37.0,22301,32607
8000,0.0,4.117389532327652,4.01751637339592,0.00029934502004548807,100.0,22301,32607
9000,0.0,4.068597072839737,3.9726815032958984,0.0002991594602266075,0.0,22302,32607
10000,0.0,4.033552042722702,3.9377636921405794,0.0002989508679841821,99.0,22302,32607
11000,0.0,4.003300126194954,3.9059741842746734,0.0002987192791292153,100.0,22302,32607
12000,0.0,3.972764951109886,3.8788656330108644,0.00029846473342075644,0.0,22302,32607
13000,0.0,3.9503612599372864,3.857113344669342,0.0002981872745590749,0.0,22302,32607
14000,0.0,3.9296366266012193,3.837025476694107,0.0002978869501781581,100.0,22301,32607
15000,0.0,3.909249964594841,3.817660380601883,0.0002975638118375331,100.0,22302,32607
16000,0.0,3.8916105872392652,3.802655898332596,0.0002972179150134154,48.0,22302,32607
17000,0.0,3.8789859899282457,3.782131700515747,0.00029684931908918483,53.0,22301,32607
18000,0.0,3.8627786930799486,3.768454942703247,0.00029645808734519,0.0,22301,32607
19000,0.0,3.849354341506958,3.7560759913921355,0.000296044286947885,100.0,22301,32607
20000,0.0,3.8375979593992233,3.7483580958843232,0.00029560798893829847,0.0,22301,32607
21000,0.0,3.8232494370937347,3.7334415745735168,0.0002951492682198363,0.0,22301,32607
22000,0.0,3.81278050160408,3.724245307445526,0.00029466820354542356,100.0,22302,32607
23000,0.0,3.802283178806305,3.7164050269126894,0.00029416487750398297,100.0,22302,32607
24000,0.0,3.7932549189329148,3.707889779806137,0.0002936393765062571,0.0,22301,32607
25000,0.0,3.7889253224134447,3.6997235655784606,0.00029309179076997304,52.0,22301,32607
26000,0.0,3.7793719317913057,3.695515784025192,0.0002925222143043535,100.0,22301,32607
27000,0.0,3.772054285407066,3.6849929332733153,0.00029193074489397813,0.0,22301,32607
28000,0.0,3.7661967091560364,3.677804349660873,0.00029131748408199533,0.0,22301,32607
29000,0.0,3.7557899420261385,3.6698773288726807,0.0002906825371526892,100.0,22301,32607
30000,0.0,3.7514624147415163,3.6646640169620515,0.0002900260131134053,100.0,22301,32607
31000,0.0,3.751153059720993,3.6585043370723724,0.0002893480246758354,100.0,22301,32607
32000,0.0,3.7404943630695344,3.653795632123947,0.0002886486882366676,9.0,22301,32607
33000,0.0,3.735317110657692,3.6491349077224733,0.00028792812385760344,100.0,22301,32607
34000,0.0,3.7293856056928636,3.6424835288524626,0.0002871864552447456,100.0,22301,32607
35000,0.0,3.724597268342972,3.6363680601119994,0.0002864238097273604,99.0,22301,32607
36000,0.0,3.723311573147774,3.6319856023788453,0.0002856403182360175,100.0,22301,32607
37000,0.0,3.7140933641195297,3.6231354987621307,0.0002848361152801122,100.0,22301,32607
38000,0.0,3.711594199538231,3.6232358586788176,0.00028401133892477293,6.0,22301,32607
39000,0.0,3.7057759257555007,3.616382796764374,0.0002831661307671581,99.0,22301,32607
40000,0.0,3.7015756568908693,3.615140266418457,0.00028230063591214703,100.0,22301,32607
41000,0.0,3.6973492084741593,3.6118557155132294,0.00028141500294742803,0.0,22301,32607
42000,0.0,3.694313077569008,3.6080284690856934,0.00028050938391798927,100.0,22301,32607
43000,0.0,3.6931203709840776,3.602292296886444,0.00027958393430001585,100.0,22301,32607
44000,0.0,3.6845881283283233,3.5982354855537415,0.0002786388129741974,100.0,22302,32607
45000,0.0,3.685270362019539,3.593942414522171,0.00027767418219845174,100.0,22302,32607
46000,0.0,3.6804878581762313,3.5916191506385804,0.0002766902075800687,100.0,22302,32607
47000,0.0,3.676956575870514,3.589932142496109,0.0002756870580472782,100.0,22301,32607
48000,0.0,3.6748933156728745,3.586729850769043,0.0002746649058202494,0.0,22301,32607
49000,0.0,3.672838059425354,3.583993510007858,0.00027362392638152354,99.0,22301,32607
50000,0.0,3.673253585100174,3.58013506770134,0.00027256429844588746,0.0,22301,32607
51000,0.0,3.663849604010582,3.5748582327365876,0.00027148620392969185,100.0,22301,32607
52000,0.0,3.6629525818824766,3.57504692196846,0.0002703898279196199,100.0,22301,32607
53000,0.0,3.6552422777414324,3.570466696023941,0.00026927535864091186,100.0,22301,32607
54000,0.0,3.6539822607040406,3.56642413854599,0.0002681429874250505,100.0,22301,32607
55000,0.0,3.654661285400391,3.5626540303230287,0.0002669929086769135,100.0,22301,32607
56000,0.0,3.647798223614693,3.559280539751053,0.00026582531984139813,36.0,22301,32607
57000,0.0,3.6480971690416335,3.5579785919189453,0.00026464042136952387,100.0,22301,32607
58000,0.0,3.6434184967279433,3.555502405166626,0.0002634384166840194,1.0,22301,32607
59000,0.0,3.6415998828411102,3.553814396858215,0.00026221951214439856,100.0,22301,32607
60000,0.0,3.6397119233608244,3.553973662853241,0.0002609839170115335,100.0,22301,32607
61000,0.0,3.6394719692468644,3.5483192574977873,0.00025973184341172796,100.0,22301,32607
62000,0.0,3.6341401070356367,3.5470547389984133,0.0002584635063003001,100.0,22301,32607
63000,0.0,3.632372906923294,3.541564824581146,0.000257179123424679,13.0,22301,32607
64000,0.0,3.6304707185029983,3.5415558469295503,0.0002558789152870219,100.0,22301,32607
65000,0.0,3.626767276763916,3.5384826636314393,0.0002545631051063583,0.0,22301,32607
66000,0.0,3.627033848285675,3.5346886777877806,0.0002532319187802682,26.0,22301,32607
67000,0.0,3.6247810881137847,3.5340512812137606,0.0002518855848460997,99.0,22301,32607
68000,0.0,3.6198275262117385,3.530662124156952,0.0002505243344417343,100.0,22301,32607
69000,0.0,3.6189853982925415,3.530641555786133,0.00024914840126590487,99.0,22301,32607
70000,0.0,3.619391773581505,3.527137624025345,0.00024775802153807454,100.0,22301,32607
71000,0.0,3.613887938141823,3.5247703421115877,0.0002463534339578828,0.0,22301,32607
72000,0.0,3.609285986661911,3.5248537743091584,0.00024493487966416544,100.0,22301,32607
73000,0.0,3.6116498810052873,3.520718675851822,0.00024350260219355602,100.0,22301,32607
74000,0.0,3.608795051455498,3.5200661396980286,0.00024205684743867592,7.0,22301,32607
75000,0.0,3.6076010085344317,3.5186221635341646,0.0002405978636059191,100.0,22302,32607
76000,0.0,3.6034410576820375,3.5133102226257322,0.0002391259011728406,100.0,22302,32607
77000,0.0,3.602106683254242,3.510390785932541,0.0002376412128451546,52.0,22301,32607
78000,0.0,3.599469411611557,3.5112334060668946,0.00023614405351334985,0.0,22301,32607
79000,0.0,3.5967482223510743,3.5095495235919953,0.0002346346802089304,100.0,22301,32607
80000,0.0,3.5913432672023773,3.5071076452732086,0.00023311335206028846,100.0,22302,32607
81000,1.0,3.5809306273460386,3.5028102588653565,0.00023158033024821758,100.0,22302,32607
82000,1.0,3.5773239398002623,3.502454552650452,0.00023003587796107297,100.0,22301,32607
83000,1.0,3.57736812877655,3.5021367359161375,0.0002284802603495876,100.0,22301,32607
84000,1.0,3.5719619663953783,3.499855111837387,0.00022691374448135146,100.0,22301,32607
85000,1.0,3.5791375662088396,3.4979605257511137,0.00022533659929496112,100.0,22301,32607
86000,1.0,3.575037428379059,3.495804463624954,0.000223749095553849,0.0,22301,32607
87000,1.0,3.5710755026340486,3.4925384736061096,0.00022215150579979833,100.0,22301,32607
