step,epoch,loss,val_loss,lr,gpu_util,gpu_mem_used_mb,gpu_mem_total_mb
1000,0.0,6.350030572414398,5.472666697502136,0.0002999939725096118,0.0,7684,32607
2000,0.0,5.239662813663482,4.989692897796631,0.0002999572288877265,94.0,7684,32607
3000,0.0,4.92296191740036,4.7577578783035275,0.00029988712156285417,50.0,7684,32607
4000,0.0,4.755257925629616,4.6349631023406985,0.00029978366786670776,21.0,7684,32607
5000,0.0,4.660309872150421,4.548446617126465,0.0002996468933747858,93.0,7684,32607
6000,0.0,4.586665847539901,4.473993656635284,0.0002994768319000493,92.0,7684,32607
7000,0.0,4.531680968523026,4.410168297290802,0.00029927352548456284,93.0,7684,32607
8000,0.0,4.477001393675804,4.354498369693756,0.0002990370243891009,56.0,7684,32607
9000,0.0,4.437389995634556,4.315760705471039,0.00029876738708072296,92.0,7684,32607
10000,0.0,4.403661401927471,4.284340189695358,0.00029846468021831887,42.0,7684,32607
11000,0.0,4.37765093767643,4.253518640995026,0.0002981289786361302,74.0,7684,32607
12000,0.0,4.355496149837971,4.229613811969757,0.0002977603653252493,87.0,7684,32607
13000,0.0,4.329987904191017,4.213560271263122,0.0002973589314131034,46.0,7684,32607
14000,0.0,4.31411492729187,4.188042637109756,0.00029692477614092557,17.0,7684,32607
15000,0.0,4.295394977092743,4.17259763598442,0.0002964580068392209,5.0,7684,32607
16000,0.0,4.277412584364415,4.1550120103359225,0.00029595873890123276,61.0,7684,32607
17000,0.0,4.26642264688015,4.1443192923069,0.00029542709575441526,88.0,7684,32607
18000,0.0,4.257213053941727,4.131900590658188,0.0002948632088299204,90.0,7684,32607
19000,0.0,4.244678338289261,4.118669378757477,0.00029426721753010566,92.0,7684,32607
20000,0.0,4.231382418394089,4.108180611133576,0.0002936392691940714,91.0,7684,32607
21000,0.0,4.2210605649352075,4.0921779477596285,0.00029297951906123666,91.0,7684,32607
22000,0.0,4.2150561537742615,4.085508677959442,0.0002922881302329604,0.0,7684,32607
23000,0.0,4.2030764647722245,4.076951358318329,0.0002915652736322213,92.0,7684,32607
24000,0.0,4.195823017179966,4.067534846067429,0.00029081112796136164,92.0,7684,32607
25000,0.0,4.1883094787597654,4.059904130697251,0.00029002587965790973,37.0,7684,32607
26000,0.0,4.179999336719513,4.05374581694603,0.000289209722848489,0.0,7684,32607
27000,0.0,4.176267601966858,4.044699739217759,0.000288362859300827,46.0,7684,32607
28000,0.0,4.168653246879578,4.035626548528671,0.0002874854983738748,85.0,7684,32607
29000,0.0,4.163314237594604,4.030113773345947,0.00028657785696605,91.0,7684,32607
30000,0.0,4.1586378262043,4.022232539653778,0.00028564015946161544,79.0,7684,32607
31000,0.0,4.1530587776899335,4.0178645074367525,0.00028467263767520824,90.0,7684,32607
32000,0.0,4.147387027025223,4.0123520648479465,0.0002836755307945311,80.0,7684,32607
33000,0.0,4.142842405021191,4.009969213008881,0.0002826490853212205,91.0,7684,32607
34000,0.0,4.13797981774807,4.000401540994644,0.00028159355500990827,0.0,7684,32607
35000,0.0,4.13672674202919,3.9981291496753695,0.0002805092008054884,92.0,7684,32607
36000,0.0,4.128496221482754,3.993489739894867,0.0002793962907786077,4.0,7684,32607
37000,0.0,4.124627767324448,3.991715968847275,0.0002782551000593933,93.0,7684,32607
38000,0.0,4.124274946510792,3.984306939840317,0.000277085910769437,93.0,7684,32607
39000,0.0,4.117406667888164,3.980459851026535,0.00027588901195204913,56.0,7684,32607
40000,0.0,4.115595430672169,3.9780832159519197,0.00027466469950080275,0.0,7684,32607
41000,0.0,4.109880959689617,3.9773526930809022,0.0002734132760863833,91.0,7684,32607
42000,0.0,4.114086170434952,3.9722129940986632,0.0002721350510817638,93.0,7684,32607
43000,0.0,4.107126743674279,3.968758535385132,0.0002708303404857219,91.0,7684,32607
44000,0.0,4.105928184807301,3.961799943447113,0.00026949946684472073,0.0,7684,32607
45000,0.0,4.100698282063007,3.96180899143219,0.0002681427591731689,0.0,7684,32607
46000,0.0,4.1003052906394,3.961278342008591,0.0002667605528720832,0.0,7684,32607
47000,0.0,4.095106506586075,3.9558773863315584,0.0002653531896461718,0.0,7684,32607
48000,0.0,4.093646304547787,3.9527439105510713,0.00026392101741935873,93.0,7684,32607
49000,0.0,4.0882969619035725,3.950038686990738,0.00026246439024877157,86.0,7684,32607
50000,0.0,4.087665620326995,3.94748761177063,0.00026098366823721237,4.0,7684,32607
51000,0.0,4.087083933770656,3.9425875878334047,0.00025947921744413427,0.0,7684,32607
52000,0.0,4.084318937897682,3.936794662475586,0.0002579514097951454,0.0,7684,32607
53000,0.0,4.076765385210514,3.934273053407669,0.00025640062299006237,27.0,7684,32607
